state;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
rs;28.39;31.39;52.15;49.61;49.68;50.23;59.45;54.45;60.97;63.02;65.84;62.91
sc;49.55;52.85;60.36;53.79;41.72;43.66;49.98;50.2;49.4;65.84;66.02;61.14
pr;62.03;71.51;67.94;45.53;44.01;47.01;44.09;43.04;40.22;47.65;59.37;65.78
sp;72.16;74.98;69.09;56.28;51.05;51.4;41.54;33.28;37.65;51.62;58.54;58.63
rj;61.98;54.19;41.53;43.1;42.81;36.46;31.17;34.92;43.12;50.52;51.07;43.86
ms;69.27;78.22;77.39;70.78;67.41;64.15;51.41;43.64;46.04;45.86;48.32;61.43
mt;76.69;74.46;74.63;78.11;68.57;48.04;28.47;17.36;19.67;29.06;39.89;54.28
df;87.76;81.97;79.85;75.74;66.39;56.3;46.02;41.01;48.79;59.06;65.01;71.77
go;86.46;81.91;78.33;72.74;58.57;41.82;26.37;18.93;24.05;35.67;47.71;59.67
mg;77.87;68.85;59.04;53.83;48.03;36.36;27.07;23.87;29.86;37.81;48.07;50.9
es;62.93;48.12;39.16;38.57;46.4;36.55;32.1;41.35;44.71;38.07;37.2;31.18
ba;59.33;50.17;46.95;47.92;45.8;37.97;31.32;29.98;29.05;24.53;29.69;27.29
to;76.81;75.06;76.91;76.06;63.18;42.68;25.77;16.1;17.41;26.34;42.19;51.52
se;38.93;32.18;31.54;44.65;53.88;75.21;73.17;66.24;49.62;32.76;20.88;18.56
al;41.52;38.95;33.28;44.35;54.3;73.71;78.63;72.15;61.27;44.15;29.16;27.07
pe;33.17;30.09;37.46;54.13;52.76;48.97;46.31;37.41;32.04;25.89;22.69;23.09
pb;23.45;31.07;42.95;58.82;55.49;47.99;45.47;34.1;29.44;23.45;20.69;23.49
rn;22.98;28.01;43.96;58.77;52.24;42.5;37.67;29.12;26.46;22.09;19.74;25.93
ce;30.21;50.42;65.79;79.51;71.36;53.44;38.59;30.07;27.47;25.96;24.08;26.66
pi;54.85;62.89;67.3;71.13;60.3;39.86;27.45;22.7;22.29;21.61;30.31;31.63
ma;60.93;68.72;73.43;76.52;68.64;55.65;39.53;26.1;17.51;14.01;18.51;30.71
pa;52.64;60.2;63.96;66.61;68.13;58.53;42.53;25.98;16.58;13.47;14.56;25.56
ap;59.37;70.66;69.67;66.6;80.15;73.74;66.78;48.66;28.68;16.22;11.55;27.35
rr;49.82;41.78;38.7;31.71;58.26;68.4;71.2;63.92;39.42;23.26;16.7;17.32
am;44.04;56.28;61.97;63.43;69.45;63.51;56.95;41.88;26.43;18.26;17.84;32.59
ac;44.38;55.66;60.34;67.9;67.7;59.53;47.46;30.38;19.09;16.2;15.99;41.98
ro;54.52;62.3;65.69;69.84;63.31;46.96;28.59;15.44;15.53;19.54;23.67;39.45