"Tabela 6960 - Produção, Venda e Valor da produção e Valor da venda na agroindústria rural nos estabelecimentos agropecuários, por tipologia, produtos da agroindústria rural, condição do produtor em relação às terras e grupos de atividade econômica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horticultura e floricultura,32,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,1,4,4,-,-,-,-,-,-,-,-,-,2,-,4,2,139,-,-,-,-,-,-,-,-,3,76,3,-,-,1,-,-,-,3,2,21,2,2,-,-,3,6,-,-,-,5,-,14,12
,Produção de lavouras permanentes,50,-,-,-,-,-,-,-,-,9,12,-,-,-,2,-,-,-,1,16,2,1,1,5,-,-,-,-,-,-,2,-,2,1,303,-,-,-,-,-,-,-,-,18,194,2,-,1,-,-,1,1,2,37,11,3,7,-,2,3,3,-,-,-,4,-,21,13
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,832,1,-,-,-,-,-,-,2,20,67,7,-,3,1,21,3,-,11,16,494,5,13,1,11,37,48,2,1,7,103,1,59,4,5158,2,-,-,-,1,1,-,2,103,443,43,-,8,2,89,17,1,22,29,3538,28,39,-,47,155,129,1,1,12,596,7,185,46
,Produção florestal - florestas plantadas,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,6,-,-,-,46,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,34,-,7,1
,Produção florestal - florestas nativas,10,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,7,-,-,-,90,-,-,-,-,-,-,-,-,8,14,1,-,-,-,-,-,1,-,2,2,1,-,-,1,1,1,-,-,-,57,1,4,-
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,7,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Alagoas,Total,1252,3,-,-,1,-,-,-,2,17,472,4,639,-,1,3,1,-,13,12,42,1,2,-,11,8,6,-,-,-,1,2,29,46,8904,4,-,-,2,-,1,-,3,95,3575,10,4855,1,5,4,1,-,37,26,198,1,14,-,14,52,30,4,1,-,36,9,73,119
,Produção de lavouras temporárias,949,2,-,-,1,-,-,-,-,4,359,1,557,-,-,-,1,-,6,3,-,1,1,-,3,1,1,-,-,-,-,1,16,33,6934,2,-,-,2,-,1,-,-,24,2655,6,4219,-,-,1,1,-,18,9,12,1,8,-,2,17,6,1,-,-,11,1,22,81
,Horticultura e floricultura,21,-,-,-,-,-,-,-,-,1,4,-,9,-,-,-,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,-,-,2,121,-,-,-,-,-,-,-,-,2,47,-,68,-,1,-,-,-,1,-,2,-,-,-,-,1,-,-,-,-,-,-,-,4
,Produção de lavouras permanentes,26,-,-,-,-,-,-,-,-,-,17,-,1,-,-,-,-,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,2,3,130,-,-,-,-,-,-,-,-,10,91,1,1,-,-,-,-,-,9,10,1,-,1,-,1,-,-,-,-,-,-,1,6,15
,Produção de sementes e mudas certificadas,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,244,1,-,-,-,-,-,-,2,9,88,3,72,-,-,3,-,-,2,3,41,-,-,-,8,7,5,-,-,-,1,1,8,6,1660,2,-,-,-,-,-,-,3,50,751,3,567,1,2,3,-,-,5,6,180,-,5,-,11,32,24,3,1,-,21,7,35,18
,Produção florestal - florestas plantadas,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
,Produção florestal - florestas nativas,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,16,-,-,-,-,-,-,-,-,4,2,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-
,Pesca,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Sergipe,Total,1434,3,-,-,-,-,-,-,1,19,1217,-,44,-,1,12,3,1,4,2,60,-,16,1,22,13,31,-,-,-,1,-,17,22,5383,-,-,-,-,-,-,-,-,55,4461,5,254,-,6,6,1,1,31,9,369,2,46,-,72,34,71,7,-,8,2,-,57,88
,Produção de lavouras temporárias,873,1,-,-,-,-,-,-,-,6,806,-,38,-,-,-,1,-,3,-,1,-,7,-,2,1,8,-,-,-,-,-,5,15,2897,-,-,-,-,-,-,-,-,7,2622,1,208,-,1,-,-,-,12,1,22,1,11,-,3,4,16,1,-,2,-,-,24,59
,Horticultura e floricultura,29,-,-,-,-,-,-,-,-,-,24,-,1,-,1,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,2,1,146,-,-,-,-,-,-,-,-,2,126,2,2,-,-,-,-,-,1,-,1,-,3,-,2,-,3,-,-,-,-,-,4,6
,Produção de lavouras permanentes,133,-,-,-,-,-,-,-,-,2,120,-,-,-,-,-,-,-,-,-,-,-,2,1,6,-,1,-,-,-,-,-,2,-,510,-,-,-,-,-,-,-,-,7,461,-,10,-,-,-,-,1,1,3,1,-,4,-,9,-,1,-,-,-,-,-,9,6
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,379,2,-,-,-,-,-,-,1,9,252,-,5,-,-,12,2,-,1,-,59,-,6,-,14,11,21,-,-,-,1,-,6,4,1768,-,-,-,-,-,-,-,-,32,1205,2,34,-,2,6,1,-,12,3,345,1,27,-,58,30,51,6,-,6,1,-,13,15
,Produção florestal - florestas plantadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Produção florestal - florestas nativas,9,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,31,-,-,-,-,-,-,-,-,5,21,-,-,-,3,-,-,-,4,2,-,-,1,-,-,-,-,-,-,-,1,-,4,1
,Pesca,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,26,-,-,-,-,-,-,-,-,2,21,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1
,Aquicultura,9,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bahia,Total,15604,376,27,10,6,106,424,2,9,375,8707,19,68,138,89,236,48,92,497,652,1374,320,1122,-,198,1024,2012,166,6,606,188,153,611,1080,77136,2514,5,5,38,287,1258,16,26,1240,50156,89,440,202,215,1454,230,402,1524,2113,8212,2881,2954,2,717,3593,6944,353,26,2133,591,291,1843,6535
,Produção de lavouras temporárias,7187,220,25,9,2,16,45,1,-,71,5980,7,49,63,27,18,27,25,162,132,63,176,271,-,28,153,306,11,1,59,13,27,148,649,38395,1641,2,3,22,36,178,10,2,192,33075,31,238,50,74,84,129,110,478,341,460,1596,538,1,88,604,1120,24,6,196,72,53,554,3777
,Horticultura e floricultura,205,-,-,-,-,1,3,-,-,9,86,1,1,6,5,1,1,2,15,17,4,-,49,-,1,6,17,-,-,1,1,-,28,6,1286,5,-,-,3,3,25,-,-,25,823,2,9,22,6,9,-,5,22,48,32,10,189,-,1,32,76,1,-,8,4,2,104,48
,Produção de lavouras permanentes,1697,22,-,-,1,69,268,-,1,46,659,-,1,2,13,3,4,32,51,200,26,2,379,-,6,21,124,3,1,16,2,4,162,26,7403,70,-,-,3,196,778,-,-,135,4335,3,5,7,50,30,20,141,149,684,155,34,1147,-,9,89,492,2,-,27,9,6,507,156
,Produção de sementes e mudas certificadas,37,-,-,-,-,-,2,-,-,2,15,-,-,-,2,-,1,1,2,6,-,1,13,-,-,1,-,-,-,-,-,-,8,-,88,1,-,-,-,1,12,-,-,-,46,-,-,1,3,-,-,1,8,9,3,-,27,-,-,-,3,-,-,-,-,-,10,2
,Pecuária e criação de outros animais,5701,132,2,1,3,15,59,1,8,222,1733,11,16,46,34,210,15,19,226,257,1271,133,298,-,159,729,1309,140,4,433,124,92,228,355,27268,769,3,2,10,44,204,5,19,822,10957,50,164,111,66,1318,72,87,811,852,7516,1193,892,1,586,2515,4293,310,20,1437,369,184,580,2324
,Produção florestal - florestas plantadas,30,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,2,-,-,-,17,2,1,-,61,-,-,-,-,-,1,-,-,1,31,-,-,-,-,1,-,-,-,8,3,-,5,-,2,-,4,-,-,-,5,2,3,3
,Produção florestal - florestas nativas,695,1,-,-,-,5,47,-,-,23,208,-,1,21,7,3,-,11,39,32,8,7,109,-,4,110,248,12,-,95,31,28,29,42,2527,27,-,-,-,7,59,1,5,62,834,1,24,11,15,11,9,50,55,155,41,45,155,-,31,348,937,16,-,460,132,44,79,216
,Pesca,22,-,-,-,-,-,-,-,-,-,10,-,-,-,1,-,-,-,-,3,-,-,-,-,-,3,2,-,-,2,-,-,2,1,86,-,-,-,-,-,-,-,-,3,48,-,-,-,1,-,-,7,-,12,-,-,1,-,-,3,14,-,-,5,-,-,4,8
,Aquicultura,30,1,-,-,-,-,-,-,-,2,10,-,-,-,-,1,-,2,-,4,2,1,2,-,-,1,4,-,-,-,-,-,5,1,22,1,-,-,-,-,1,-,-,-,7,2,-,-,-,1,-,1,1,4,2,3,-,-,-,2,5,-,-,-,-,-,2,1
Minas Gerais,Total,20972,1414,3,2,29,121,2126,6,24,1106,3063,839,22,168,48,187,82,108,1200,479,8338,997,1389,34,739,2657,1550,49,155,15,1187,254,1324,637,72353,4098,7,12,129,373,6016,5,58,3330,17049,2605,163,389,110,529,406,405,3568,1201,33304,5081,2907,34,1081,7089,3657,124,518,29,2036,378,3202,4358
,Produção de lavouras temporárias,4554,765,2,1,14,48,332,1,-,170,1708,344,15,54,12,17,36,23,230,96,518,486,290,4,67,370,201,13,23,1,65,29,308,397,17908,2321,2,4,61,120,1078,1,6,476,9151,867,78,105,35,37,140,111,668,241,2327,2367,572,3,86,969,549,30,44,1,141,49,821,2728
,Horticultura e floricultura,172,4,-,-,-,-,13,-,-,24,16,9,-,6,2,-,1,-,21,11,36,7,20,-,4,21,18,-,-,-,2,3,27,3,846,36,1,-,1,3,55,-,-,81,141,36,2,38,2,6,11,5,80,24,265,58,49,1,7,85,70,-,4,-,5,7,75,30
,Produção de lavouras permanentes,1944,74,-,-,4,29,1201,-,2,189,80,57,-,11,11,9,8,12,89,44,298,42,287,18,19,113,202,-,7,-,43,25,65,12,5600,151,1,-,11,65,2875,-,1,518,645,276,-,18,19,15,53,11,254,125,1439,191,451,16,30,302,509,-,24,-,51,26,178,90
,Produção de sementes e mudas certificadas,17,-,-,-,-,-,-,-,-,-,5,-,-,-,-,1,-,1,-,1,4,-,-,-,-,2,-,-,-,-,2,-,3,1,45,4,-,-,-,-,5,-,-,7,10,3,-,1,-,-,-,1,4,1,12,5,5,-,3,5,1,-,-,-,-,-,4,1
,Pecuária e criação de outros animais,12775,520,1,1,8,37,522,4,22,683,1131,408,7,95,23,158,32,36,769,272,7386,426,664,12,643,1969,1062,36,119,13,243,136,859,202,44569,1475,2,7,50,152,1819,4,51,2050,6363,1280,76,227,49,442,163,156,2201,648,28939,2251,1562,14,929,5129,2287,93,362,28,446,237,2021,1373
,Produção florestal - florestas plantadas,963,30,-,-,1,1,22,-,-,13,23,7,-,-,-,1,-,8,15,9,53,9,23,-,5,23,14,-,-,-,818,31,16,3,1775,51,-,-,2,15,84,-,-,74,178,64,2,-,1,17,19,2,89,25,216,71,70,-,15,97,69,-,32,-,1350,20,31,35
,Produção florestal - florestas nativas,475,14,-,-,2,6,35,1,-,22,92,12,-,2,-,1,5,27,74,44,19,22,101,-,1,154,37,-,5,-,14,30,38,16,1536,56,1,1,4,18,96,-,-,113,555,76,5,-,4,7,19,118,265,131,85,132,190,-,11,489,144,-,48,-,40,39,65,96
,Pesca,3,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,1,-,3,1,-,-,-,6,5,-,-,-,-,-,1,1
,Aquicultura,69,7,-,-,-,-,1,-,-,5,6,2,-,-,-,-,-,-,2,2,24,5,4,-,-,5,16,-,1,1,-,-,8,1,59,3,-,-,-,-,4,-,-,11,3,3,-,-,-,5,1,-,6,6,18,5,8,-,-,7,23,1,4,-,3,-,6,4
Espírito Santo,Total,1180,49,-,-,-,109,201,-,-,45,82,128,-,23,1,21,12,-,25,63,471,11,30,4,18,60,50,-,16,-,30,6,76,3,3749,98,-,1,5,180,463,-,2,126,475,356,-,22,11,100,101,-,135,145,1764,69,65,15,20,108,87,1,18,-,51,12,172,34
,Produção de lavouras temporárias,172,20,-,-,-,53,26,-,-,10,40,41,-,14,-,-,4,-,5,8,4,1,13,-,2,20,11,-,5,-,1,-,16,2,447,41,-,-,2,14,40,-,-,9,199,73,-,3,-,2,17,-,12,11,35,11,6,-,-,11,9,-,3,-,1,-,41,20
,Horticultura e floricultura,13,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,1,4,-,1,-,1,1,-,-,-,-,1,-,4,-,121,1,-,-,-,1,6,-,-,10,12,21,-,4,1,20,2,-,12,10,31,1,-,1,1,4,2,-,1,-,-,-,10,1
,Produção de lavouras permanentes,515,15,-,-,-,39,149,-,-,14,30,69,-,5,1,7,6,-,10,27,156,8,8,4,8,23,22,-,5,-,14,1,39,-,1835,45,-,1,1,146,379,-,1,71,204,226,-,12,9,34,55,-,81,89,638,43,45,14,11,71,63,1,10,-,31,8,81,8
,Produção de sementes e mudas certificadas,3,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,450,13,-,-,-,16,24,-,-,19,10,16,-,4,-,14,2,-,8,25,302,2,6,-,7,16,17,-,5,-,2,3,17,1,1301,11,-,-,1,18,29,-,1,34,57,34,-,3,1,43,27,-,30,28,1056,14,14,-,8,21,11,-,4,-,5,1,34,5
,Produção florestal - florestas plantadas,18,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,12,-,-,-,35,-,-,-,-,1,8,-,-,1,2,2,-,-,-,-,-,-,-,4,3,-,-,-,-,1,1,-,-,-,13,3,4,-
,Produção florestal - florestas nativas,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aquicultura,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,5,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,2,-
Rio de Janeiro,Total,1082,51,-,-,-,4,15,-,1,163,53,16,-,4,7,15,24,2,16,27,656,9,24,1,1,30,60,-,4,-,9,13,38,3,2336,53,-,-,1,4,59,-,-,257,182,33,-,9,16,25,61,2,32,47,1561,21,53,1,4,26,66,-,5,-,3,9,73,23
,Produção de lavouras temporárias,124,33,-,-,-,-,3,-,-,21,20,5,-,-,1,-,12,1,2,-,19,4,5,-,-,5,5,-,-,-,1,-,10,-,315,27,-,-,-,1,5,-,-,58,88,10,-,1,5,3,30,-,8,8,82,13,18,-,-,4,12,-,1,-,1,-,15,14
,Horticultura e floricultura,43,1,-,-,-,1,-,-,-,15,3,1,-,2,-,1,-,-,3,3,10,-,4,-,-,-,-,-,-,-,-,-,10,2,115,3,-,-,-,1,1,-,-,19,5,6,-,6,3,1,6,-,3,2,47,2,6,-,-,1,2,-,1,-,-,-,17,1
,Produção de lavouras permanentes,79,-,-,-,-,1,8,-,-,36,11,3,-,-,3,-,3,-,-,4,11,1,4,1,-,-,2,-,-,-,-,1,4,1,217,4,-,-,1,1,46,-,-,67,28,3,-,1,2,1,9,-,5,11,41,-,9,-,-,-,4,-,-,-,1,1,13,2
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,801,15,-,-,-,1,3,-,1,82,14,7,-,1,3,14,7,1,11,11,615,3,9,-,1,25,52,-,4,-,3,6,12,-,1641,18,-,-,-,1,4,-,-,102,48,11,-,1,4,20,14,1,16,17,1390,6,17,1,4,21,46,-,3,-,-,1,24,6
,Produção florestal - florestas plantadas,16,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,5,6,1,-,12,1,-,-,-,-,-,-,-,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-
,Produção florestal - florestas nativas,9,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,1,-,-,3,8,-,-,-,1,-,-,1,-,8,-,-,1,-,-,-,1,-,-,-,1,1,3,-
,Pesca,6,-,-,-,-,-,1,-,-,5,3,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,1,-,-,6,4,-,-,-,1,-,2,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-
,Aquicultura,4,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
São Paulo,Total,2167,82,4,-,3,55,55,-,3,158,52,14,-,20,11,24,7,19,35,26,1301,13,42,33,23,38,50,3,12,1,112,25,260,1,5603,114,-,-,4,73,94,-,1,361,160,20,-,41,22,20,41,5,92,91,4120,53,62,43,20,75,41,2,17,1,220,15,367,10
,Produção de lavouras temporárias,305,48,4,-,3,4,6,-,-,24,29,8,-,4,2,1,5,3,8,4,97,9,6,1,4,5,4,-,1,-,12,1,61,-,656,75,-,-,3,4,13,-,-,52,78,9,-,8,3,2,25,-,12,13,238,31,11,3,1,5,5,-,-,-,55,2,123,3
,Horticultura e floricultura,79,2,-,-,-,4,2,-,-,17,1,-,-,10,2,-,-,2,6,4,18,-,4,1,-,1,3,-,1,-,2,-,29,-,262,2,-,-,-,4,4,-,-,41,11,-,-,19,4,2,1,-,11,12,122,1,9,4,-,3,1,-,1,-,7,-,50,1
,Produção de lavouras permanentes,269,10,-,-,-,42,36,-,-,20,8,2,-,2,2,1,1,12,3,11,43,1,9,21,3,5,7,-,-,-,6,3,58,1,476,13,-,-,-,51,47,-,-,49,19,1,-,1,7,-,3,1,8,35,153,4,22,32,7,23,2,-,-,-,10,-,56,1
,Produção de sementes e mudas certificadas,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,1374,17,-,-,-,5,11,-,3,95,13,3,-,4,5,22,1,2,18,7,1125,2,21,9,16,26,26,3,10,1,25,7,89,-,4059,20,-,-,1,14,29,-,1,216,51,10,-,13,6,16,9,3,59,30,3581,16,19,3,12,44,30,2,16,1,56,7,124,5
